17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun
0,10,0,0,10,0,0,0,0,0,0,0
10,10,0,10,0,0,10,10,10,10,30,20
3600,3600,3600,4400,4400,3600,4400,3600,5400,4400,4400,4400
20,20,20,20,20,10,10,30,30,20,20,20
40,50,50,50,50,50,90,170,170,170,40,90
10,30,20,20,30,40,40,30,30,30,20,20
0,10,0,0,0,10,0,0,0,0,0,0
3600,2400,1900,1900,1600,1000,1000,1300,590,320,210,170
260,210,170,210,170,170,170,140,170,320,480,390
50,50,40,30,70,20,50,50,50,50,40,40
10,10,10,10,10,10,10,10,10,10,20,10
210,320,260,260,90,50,50,40,70,70,90,90
30,70,50,70,50,50,70,90,70,110,90,90
880,590,480,720,590,480,720,880,1300,1300,1000,880
10,10,10,10,10,10,10,20,10,10,10,10
823000,823000,673000,823000,673000,550000,673000,673000,823000,673000,673000,550000
8100,6600,8100,6600,6600,5400,5400,6600,8100,9900,12100,9900
10,10,30,10,10,10,20,10,20,10,10,10
10,10,10,20,20,20,10,30,70,30,20,10
30,20,20,20,30,40,30,30,40,50,50,30
10,10,10,10,10,10,30,30,30,20,20,10
70,50,40,50,70,40,50,50,30,50,70,50
10,10,10,10,10,10,10,10,10,20,10,10
10,10,10,10,10,10,10,0,0,0,0,10
70,50,40,40,40,50,40,70,110,90,50,70
140,90,140,110,140,110,170,140,140,170,210,170
30,50,30,40,30,30,40,20,30,30,50,30
10,10,10,10,10,10,10,10,10,10,10,10
20,10,20,20,20,20,30,20,30,20,20,20
12100,8100,8100,8100,8100,8100,9900,8100,9900,9900,9900,9900
70,70,50,50,40,30,40,50,70,50,50,50
10,10,0,10,10,10,10,10,10,10,10,10
0,10,10,0,10,0,10,0,10,10,0,10
1600,1600,1600,1600,1300,1300,1600,1600,1300,1600,1900,2900
20,30,30,20,20,20,30,30,40,20,20,30
30,20,10,10,20,10,10,20,10,10,40,40
10,10,10,10,10,10,10,10,20,20,10,10
1900,1300,1300,1000,1300,1300,1900,4400,8100,8100,4400,2900
30,20,30,30,20,30,20,40,30,40,30,40
10,10,0,10,0,10,0,10,10,10,10,10
140,140,170,170,210,210,320,390,390,390,320,320
260,170,170,140,110,90,140,140,170,170,170,260
210,170,170,170,110,140,140,170,140,170,210,210
